Ref,Val,Package,PosX,PosY,Rot,Side
"C1","330nF","C_0805_2012Metric",186.340587,-70.253368,180.000000,top
"C2","330nF","C_0805_2012Metric",168.352578,-68.952975,180.000000,top
"C3","330nF","C_0805_2012Metric",151.146178,-69.123996,180.000000,top
"C4","100nF","C_0805_2012Metric",181.884652,-70.249430,180.000000,top
"C5","100nF","C_0805_2012Metric",163.887260,-69.380528,180.000000,top
"C6","100nF","C_0805_2012Metric",146.528605,-69.316395,180.000000,top
"C7","1uF","C_1206_3216Metric",178.266132,-62.735417,180.000000,top
"C8","1uF","C_1206_3216Metric",167.060536,-65.340151,180.000000,top
"C9","1uF","C_1206_3216Metric",150.364588,-65.575306,180.000000,top
"C10","1nF","C_0805_2012Metric",175.013023,-65.532550,0.000000,top
"C11","1nF","C_0805_2012Metric",158.530852,-63.779583,0.000000,top
"C12","1nF","C_0805_2012Metric",141.279086,-64.314024,0.000000,top
"C13","330nF","C_0805_2012Metric",132.932417,-67.606183,180.000000,top
"C14","330nF","C_0805_2012Metric",116.500952,-68.836795,180.000000,top
"C15","330nF","C_0805_2012Metric",98.442876,-69.656952,180.000000,top
"C16","100nF","C_0805_2012Metric",128.892041,-69.466039,180.000000,top
"C17","100nF","C_0805_2012Metric",111.812208,-69.467972,180.000000,top
"C18","100nF","C_0805_2012Metric",94.080604,-69.375248,180.000000,top
"C19","1uF","C_1206_3216Metric",134.908603,-64.078870,180.000000,top
"C20","1uF","C_1206_3216Metric",116.561064,-65.320238,180.000000,top
"C21","1uF","C_1206_3216Metric",98.550895,-66.876457,180.000000,top
"C22","1nF","C_0805_2012Metric",124.390739,-64.036115,0.000000,top
"C23","1nF","C_0805_2012Metric",107.546508,-64.041111,0.000000,top
"C24","1nF","C_0805_2012Metric",89.592129,-63.654588,0.000000,top
"C25","330nF","C_0805_2012Metric",82.074081,-68.862185,180.000000,top
"C26","330nF","C_0805_2012Metric",67.344347,-70.235563,180.000000,top
"C27","100nF","C_0805_2012Metric",77.071710,-69.452208,180.000000,top
"C28","100nF","C_0805_2012Metric",63.658781,-69.828032,90.000000,top
"C29","1uF","C_1206_3216Metric",81.882573,-65.219432,180.000000,top
"C30","1uF","C_1206_3216Metric",67.225601,-66.232847,-90.000000,top
"C31","1nF","C_0805_2012Metric",73.724811,-63.773119,0.000000,top
"C32","1nF","C_0805_2012Metric",54.646870,-70.921697,180.000000,top
"C33","1uF","C_1206_3216Metric",181.971731,-88.989207,0.000000,top
"C34","1uF","C_1206_3216Metric",117.376113,-89.579993,0.000000,top
"C35","1uF","C_1206_3216Metric",171.353241,-64.358444,90.000000,top
"D1","VEMD5010","SMT_VEMD5010",180.000000,-75.000000,90.000000,top
"D2","VEMD5010","SMT_VEMD5010",162.857142,-75.000000,90.000000,top
"D3","VEMD5010","SMT_VEMD5010",145.714285,-75.000000,90.000000,top
"D4","VEMD5010","SMT_VEMD5010",128.571428,-75.000000,90.000000,top
"D5","VEMD5010","SMT_VEMD5010",111.428571,-75.000000,90.000000,top
"D6","VEMD5010","SMT_VEMD5010",94.285714,-75.000000,90.000000,top
"D7","VEMD5010","SMT_VEMD5010",77.142857,-75.000000,90.000000,top
"D8","VEMD5010","SMT_VEMD5010",60.000000,-75.000000,90.000000,top
"D9","LTST-C930KSKT ","LED_1210_3225Metric",186.000000,-85.000000,0.000000,top
"D10","LTST-C930KSKT ","LED_1210_3225Metric",178.235280,-85.000000,0.000000,top
"D11","LTST-C930KSKT ","LED_1210_3225Metric",170.470575,-85.000000,0.000000,top
"D12","LTST-C930KSKT ","LED_1210_3225Metric",162.705870,-85.000000,0.000000,top
"D13","LTST-C930KSKT ","LED_1210_3225Metric",154.941165,-85.000000,0.000000,top
"D14","LTST-C930KSKT ","LED_1210_3225Metric",147.176460,-85.000000,0.000000,top
"D15","LTST-C930KSKT ","LED_1210_3225Metric",139.411755,-85.000000,0.000000,top
"D16","LTST-C930KSKT ","LED_1210_3225Metric",131.647050,-85.000000,0.000000,top
"D17","LTST-C930KSKT ","LED_1210_3225Metric",123.882345,-85.000000,0.000000,top
"D18","LTST-C930KSKT ","LED_1210_3225Metric",116.117640,-85.000000,0.000000,top
"D19","LTST-C930KSKT ","LED_1210_3225Metric",108.352935,-85.000000,0.000000,top
"D20","LTST-C930KSKT ","LED_1210_3225Metric",100.588230,-85.000000,0.000000,top
"D21","LTST-C930KSKT ","LED_1210_3225Metric",92.823525,-85.000000,0.000000,top
"D22","LTST-C930KSKT ","LED_1210_3225Metric",85.058820,-85.000000,0.000000,top
"D23","LTST-C930KSKT ","LED_1210_3225Metric",77.294115,-85.000000,0.000000,top
"D24","LTST-C930KSKT ","LED_1210_3225Metric",69.529410,-85.000000,0.000000,top
"D25","LTST-C930KSKT ","LED_1210_3225Metric",61.764705,-85.000000,0.000000,top
"D26","LTST-C930KSKT ","LED_1210_3225Metric",54.000000,-85.000000,0.000000,top
"J1","Conn_01x10","JST_PH_S10B-PH-SM4-TB_1x10-1MP_P2.00mm_Horizontal",136.005243,-93.910321,0.000000,top
"J2","Conn_01x06","JST_PH_S6B-PH-SM4-TB_1x06-1MP_P2.00mm_Horizontal",94.707281,-93.638510,0.000000,top
"L2","DTUMEDIUM-13MM","DTU-MEDIUM-9MM",62.883788,-92.499182,0.000000,top
"Q1","BSS138","SOT-23",184.657462,-73.304633,180.000000,top
"Q2","BSS138","SOT-23",167.640849,-73.066868,180.000000,top
"Q3","BSS138","SOT-23",150.709748,-73.133612,180.000000,top
"Q4","BSS84","SOT-23",175.526087,-71.112118,180.000000,top
"Q5","BSS84","SOT-23",158.277437,-70.675182,180.000000,top
