%% logfile from robot Tania (57)
% Tania (57)
%  1    time 0.010 sec
%  2  3 Motor voltage [V] left, right: 4.75 4.75
%  4  5 Wheel velocity [m/s] left, right: 0.0000 -0.0000
%  6    Battery voltage [V]: 11.90
%  7  9 Chirp frequency =1256.1 rad/s, phase=1.2561 rad, value=0.95089
0.010 4.75 4.75 0.0000 -0.0000 11.90 1256.1 1.2561 0.95089 
0.010 2.94 2.94 0.0000 -0.0000 11.90 1255.56 2.51166 0.58909 
0.011 -2.92 -2.92 0.0000 -0.0000 11.90 1255.02 3.76668 -0.585172 
0.012 -4.76 -4.76 0.0000 -0.0000 11.90 1254.49 5.02117 -0.952704 
0.013 -0.04 -0.04 0.0000 -0.0000 11.90 1253.95 6.27512 -0.00806448 
0.014 4.74 4.74 0.0000 -0.0000 11.90 1253.41 1.24535 0.947508 
0.015 3.00 3.00 0.0000 -0.0000 11.91 1252.88 2.49822 0.599894 
0.016 -2.86 -2.86 0.0000 -0.0000 11.90 1252.34 3.75056 -0.572024 
0.017 -4.79 -4.79 0.0000 -0.0000 11.91 1251.8 5.00237 -0.95825 
0.018 -0.15 -0.15 0.0000 -0.0000 11.90 1251.27 6.25363 -0.0295461 
0.019 4.70 4.70 0.0000 -0.0000 11.90 1250.73 1.22118 0.939505 
0.020 3.10 3.10 0.0000 -0.0000 11.91 1250.2 2.47138 0.621154 
0.021 -2.74 -2.74 0.0000 -0.0000 11.90 1249.66 3.72104 -0.547561 
0.022 -4.83 -4.83 0.0000 -0.0000 11.91 1249.13 4.97017 -0.966959 
0.023 -0.32 -0.32 0.0000 -0.0000 11.90 1248.59 6.21876 -0.0643841 
0.024 4.63 4.63 0.0000 -0.0000 11.90 1248.06 1.18363 0.925982 
0.025 3.26 3.26 0.0000 -0.0000 11.91 1247.52 2.43115 0.652169 
0.026 -2.56 -2.56 0.0000 -0.0000 11.89 1246.99 3.67814 -0.511171 
0.027 -4.89 -4.89 0.0000 -0.0000 11.90 1246.45 4.92459 -0.977569 
0.028 -0.56 -0.56 0.0000 -0.0000 11.91 1245.92 6.17052 -0.112432 
0.029 4.53 4.53 0.0000 -0.0000 11.90 1245.39 1.13272 0.905568 
0.030 3.46 3.46 0.0000 -0.0000 11.91 1244.85 2.37757 0.69183 
0.031 -2.31 -2.31 0.0000 -0.0000 11.89 1244.32 3.62189 -0.462046 
0.032 -4.94 -4.94 0.0000 -0.0000 11.90 1243.79 4.86568 -0.988274 
0.033 -0.87 -0.87 0.0000 -0.0000 11.90 1243.26 6.10894 -0.173367 
0.034 4.38 4.38 0.0000 -0.0000 11.90 1242.72 1.06848 0.876468 
0.035 3.69 3.69 0.0000 -0.0000 11.91 1242.19 2.31067 0.738554 
0.036 -2.00 -2.00 0.0000 -0.0000 11.90 1241.66 3.55233 -0.399285 
0.037 -4.98 -4.98 0.0000 -0.0000 11.90 1241.13 4.79346 -0.996716 
0.038 -1.23 -1.23 0.0000 -0.0000 11.90 1240.6 6.03406 -0.246561 
0.039 4.18 4.18 0.0000 -0.0000 11.90 1240.07 0.990937 0.83654 
0.040 3.95 3.95 0.0000 -0.0000 11.90 1239.54 2.23047 0.790191 
0.041 -1.61 -1.61 0.0000 -0.0000 11.89 1239 3.46948 -0.322041 
0.042 -5.00 -5.00 0.0000 -0.0000 11.91 1238.47 4.70795 -0.99999 
0.043 -1.65 -1.65 0.0000 -0.0000 11.91 1237.94 5.9459 -0.330931 
0.044 3.92 3.92 0.0000 -0.0000 11.90 1237.41 0.900124 0.783404 
0.045 4.22 4.22 0.0000 -0.0000 11.90 1236.88 2.13701 0.843939 
0.046 -1.15 -1.15 0.0000 -0.0000 11.89 1236.35 3.37336 -0.229701 
0.047 -4.97 -4.97 0.0000 -0.0000 11.91 1235.83 4.60919 -0.99468 
0.048 -2.12 -2.12 0.0000 -0.0000 11.90 1235.3 5.84449 -0.424763 
0.049 3.56 3.59 0.0000 -0.0000 11.90 1234.77 0.796068 0.714611 
0.050 4.47 4.49 0.0000 -0.0000 11.91 1234.24 2.03031 0.89627 
0.051 -0.62 -0.60 0.0000 -0.0000 11.89 1233.71 3.26402 -0.122119 
0.052 -4.90 -4.87 0.0000 -0.0000 11.90 1233.18 4.4972 -0.976936 
0.053 -2.64 -2.61 0.0000 -0.0000 11.89 1232.65 5.72985 -0.525524 
0.054 3.12 3.15 0.0000 -0.0000 11.89 1232.13 0.678796 0.627856 
0.055 4.70 4.73 0.0000 -0.0000 11.91 1231.6 1.9104 0.942888 
0.056 -0.01 0.01 0.0000 -0.0000 11.90 1231.07 3.14147 0.000125082 
0.057 -4.73 -4.70 0.0000 -0.0000 11.91 1230.55 4.37201 -0.942629 
0.058 -3.16 -3.13 0.0000 -0.0000 11.91 1230.02 5.60203 -0.62969 
0.059 2.59 2.62 0.0000 -0.0000 11.90 1229.49 0.548337 0.521269 
0.060 4.88 4.91 0.0000 -0.0000 11.91 1228.97 1.7773 0.978753 
0.061 0.66 0.69 0.0000 -0.0000 11.91 1228.44 3.00574 0.135434 
0.062 -4.45 -4.42 0.0000 -0.0000 11.90 1227.91 4.23365 -0.887579 
0.063 -3.68 -3.65 0.0000 -0.0000 11.91 1227.39 5.46104 -0.732606 
0.064 1.95 1.98 0.0000 -0.0000 11.90 1226.86 0.404719 0.393761 
0.065 4.98 5.00 0.0000 -0.0000 11.91 1226.34 1.63106 0.998185 
0.066 1.39 1.42 0.0000 -0.0000 11.90 1225.81 2.85687 0.280893 
0.067 -4.05 -4.03 0.0000 -0.0000 11.90 1225.29 4.08215 -0.807889 
0.068 -4.16 -4.13 0.0000 -0.0000 11.90 1224.76 5.30692 -0.828413 
0.069 1.21 1.24 0.0000 -0.0000 11.89 1224.24 0.24797 0.245437 
0.070 4.96 4.99 0.0000 -0.0000 11.91 1223.71 1.47168 0.995092 
0.071 2.15 2.17 0.0000 -0.0000 11.90 1223.19 2.69487 0.432008 
0.072 -3.52 -3.49 0.0000 -0.0000 11.90 1222.67 3.91754 -0.700393 
0.073 -4.57 -4.54 0.0000 -0.0000 11.91 1222.14 5.13968 -0.91009 
0.074 0.38 0.40 0.0000 -0.0000 11.88 1221.62 0.078118 0.0780386 
0.075 4.80 4.83 0.0000 -0.0000 11.90 1221.1 1.29921 0.963348 
0.076 2.90 2.93 0.0000 -0.0000 11.90 1220.57 2.51979 0.582502 
0.078 -4.86 -4.83 0.0000 -0.0000 11.90 1219.53 4.95937 -0.969655 
0.079 -0.54 -0.51 0.0000 -0.0000 11.89 1219.01 6.17838 -0.104617 
0.080 4.47 4.50 0.0000 -0.0000 11.90 1218.49 1.11368 0.897327 
0.081 3.61 3.64 0.0000 -0.0000 11.90 1217.96 2.33164 0.724254 
0.082 -2.00 -1.97 0.0000 -0.0000 11.89 1217.44 3.54908 -0.396306 
0.083 -5.01 -4.98 0.0000 -0.0000 11.91 1216.92 4.766 -0.998563 
0.084 -1.50 -1.47 0.0000 -0.0000 11.89 1216.4 5.9824 -0.296268 
0.085 3.95 3.98 0.0000 -0.0000 11.90 1215.88 0.915097 0.792622 
0.086 4.22 4.25 0.0000 -0.0000 11.90 1215.36 2.13046 0.847436 
0.087 -1.03 -1.00 0.0000 -0.0000 11.90 1214.84 3.34529 -0.202296 
0.088 -4.96 -4.93 0.0000 -0.0000 11.90 1214.32 4.55961 -0.988352 
0.089 -2.46 -2.42 0.0000 -0.0000 11.91 1213.8 5.77341 -0.48798 
0.090 3.22 3.25 0.0000 -0.0000 11.90 1213.28 0.703504 0.646894 
0.091 4.69 4.72 0.0000 -0.0000 11.91 1212.76 1.91626 0.940917 
0.092 0.05 0.08 0.0000 -0.0000 11.90 1212.24 3.1285 0.0130885 
0.093 -4.67 -4.64 0.0000 -0.0000 11.90 1211.72 4.34023 -0.931543 
0.094 -3.36 -3.33 0.0000 -0.0000 11.90 1211.2 5.55143 -0.668178 
0.095 2.29 2.32 0.0000 -0.0000 11.90 1210.68 0.478926 0.460827 
0.096 4.95 4.98 0.0000 -0.0000 11.91 1210.17 1.68909 0.993011 
0.097 1.19 1.22 0.0000 -0.0000 11.90 1209.65 2.89874 0.240473 
0.098 -4.13 -4.10 0.0000 -0.0000 11.90 1209.13 4.10787 -0.822775 
0.099 -4.13 -4.10 0.0000 -0.0000 11.90 1208.61 5.31648 -0.823018 
0.100 1.18 1.21 0.0000 -0.0000 11.88 1208.09 0.24139 0.239053 
0.101 4.95 4.98 0.0000 -0.0000 11.90 1207.58 1.44897 0.992588 
0.102 2.32 2.35 0.0000 -0.0000 11.90 1207.06 2.65603 0.466708 
0.103 -3.32 -3.28 0.0000 -0.0000 11.90 1206.54 3.86257 -0.66012 
0.104 -4.70 -4.67 0.0000 -0.0000 11.91 1206.03 5.0686 -0.937225 
0.106 4.64 4.67 0.0000 -0.0000 11.90 1204.99 1.19592 0.930552 
0.107 3.36 3.39 0.0000 -0.0000 11.90 1204.48 2.4004 0.67517 
0.108 -2.25 -2.21 0.0000 -0.0000 11.89 1203.96 3.60436 -0.446427 
0.109 -4.99 -4.96 0.0000 -0.0000 11.91 1203.45 4.80781 -0.995451 
0.110 -1.36 -1.33 0.0000 -0.0000 11.90 1202.93 6.01074 -0.269087 
0.111 3.99 4.02 0.0000 -0.0000 11.91 1202.42 0.929973 0.801604 
0.112 4.22 4.25 0.0000 -0.0000 11.91 1201.9 2.13188 0.846681 
0.113 -0.97 -0.94 0.0000 -0.0000 11.89 1201.39 3.33326 -0.1905 
