%% logfile from robot Tania (57)
% Tania (57)
%  1    time 0.211 sec
%  2  3 Motor voltage [V] left, right: 6.06 6.00
%  4  5 Wheel velocity [m/s] left, right: 0.7436 0.8232
%  6    Battery voltage [V]: 11.87
%  7  9 Chirp frequency =785.062 rad/s, phase=0.785062 rad, value=0.706869
0.211 6.06 6.00 0.7436 0.8232 11.87 785.062 0.785062 0.706869 
0.211 7.53 7.47 0.7771 0.8042 11.86 784.726 1.56979 0.999999 
0.212 6.06 6.03 0.7949 0.6760 11.84 784.391 2.35418 0.708531 
0.213 2.54 2.49 0.7787 0.8384 11.84 784.055 3.13823 0.00335899 
0.214 -0.99 -1.05 0.8573 0.7117 11.86 783.719 3.92195 -0.703536 
0.215 -2.47 -2.53 0.8098 0.9009 11.86 783.384 4.70534 -0.999975 
0.216 -1.04 -1.10 0.8922 0.8157 11.86 783.049 5.48839 -0.713723 
0.217 2.47 2.41 0.7791 0.8689 11.87 782.714 6.2711 -0.0120845 
0.218 6.01 5.95 0.8000 0.7768 11.88 782.379 0.770294 0.696347 
0.219 7.53 7.47 0.8263 0.8104 11.87 782.044 1.55234 0.99983 
0.220 6.14 6.08 0.7788 0.7882 11.83 781.71 2.33405 0.722592 
0.221 2.66 2.60 0.7619 0.8036 11.83 781.375 3.11542 0.0261662 
0.222 -0.90 -0.95 0.8196 0.7543 11.85 781.041 3.89646 -0.685195 
0.223 -2.48 -2.51 0.9088 0.8740 11.87 780.707 4.67717 -0.99938 
0.224 -1.14 -1.21 0.7309 0.8008 11.85 780.373 5.45754 -0.734983 
0.225 2.29 2.25 0.8708 0.7457 11.86 780.039 6.23758 -0.0455868 
0.226 5.88 5.82 0.6933 0.8127 11.88 779.705 0.734102 0.669921 
0.227 7.51 7.47 0.8016 0.7622 11.87 779.371 1.51347 0.998358 
0.228 6.27 6.24 0.7968 0.7790 11.84 779.038 2.29251 0.750673 
0.229 2.87 2.83 0.8150 0.8046 11.82 778.705 3.07122 0.070318 
0.230 -0.73 -0.77 0.7943 0.7904 11.85 778.372 3.84959 -0.650312 
0.231 -2.45 -2.51 0.8456 0.8310 11.87 778.038 4.62763 -0.99641 
0.232 -1.32 -1.38 0.8282 0.8398 11.86 777.706 5.40533 -0.769369 
0.233 2.03 1.97 0.8718 0.8674 11.86 777.373 6.1827 -0.100311 
0.234 5.66 5.60 0.7529 0.7870 11.87 777.04 0.67656 0.626115 
0.235 7.50 7.43 0.8256 0.6547 11.87 776.708 1.45327 0.993101 
0.236 6.48 6.42 0.6925 0.8263 11.85 776.375 2.22964 0.790699 
0.237 3.19 3.16 0.8629 0.7189 11.82 776.043 3.00569 0.135488 
0.238 -0.45 -0.52 0.7152 0.8512 11.84 775.711 3.7814 -0.597039 
0.239 -2.41 -2.47 0.8911 0.7480 11.88 775.379 4.55678 -0.987917 
0.240 -1.54 -1.60 0.7228 0.8461 11.87 775.048 5.33183 -0.814206 
0.241 1.65 1.59 0.8257 0.7431 11.87 774.716 6.10654 -0.175727 
0.242 5.34 5.28 0.8634 0.8059 11.87 774.385 0.59774 0.562776 
0.243 7.43 7.37 0.8436 0.8449 11.88 774.053 1.37179 0.980264 
0.244 6.73 6.66 0.7083 0.7787 11.86 773.722 2.14552 0.839345 
0.245 3.64 3.57 0.8103 0.6788 11.83 773.391 2.91891 0.22085 
0.246 -0.08 -0.15 0.7282 0.8554 11.84 773.06 3.69197 -0.523006 
0.247 -2.33 -2.37 0.8823 0.7436 11.87 772.729 4.4647 -0.969481 
0.248 -1.81 -1.85 0.8040 0.8822 11.86 772.399 5.23709 -0.865471 
0.249 1.17 1.13 0.8673 0.7314 11.88 772.068 6.00916 -0.270606 
0.250 4.91 4.87 0.7670 0.8191 11.87 771.738 0.497716 0.47742 
0.251 7.29 7.25 0.7859 0.7068 11.88 771.408 1.26912 0.954841 
0.252 6.98 6.94 0.8032 0.7906 11.85 771.078 2.0402 0.891838 
0.253 4.14 4.10 0.7979 0.7490 11.83 770.748 2.81095 0.324652 
0.254 0.39 0.35 0.8163 0.7994 11.84 770.418 3.58137 -0.425735 
0.255 -2.16 -2.20 0.8440 0.8271 11.86 770.088 4.35145 -0.935567 
0.256 -2.07 -2.11 0.8592 0.8413 11.87 769.759 5.12121 -0.917589 
0.257 0.62 0.55 0.8666 0.8574 11.86 769.43 5.89064 -0.382538 
0.258 4.37 4.30 0.8126 0.8095 11.87 769.1 0.376558 0.367722 
0.259 7.07 7.03 0.7887 0.6629 11.88 768.771 1.14533 0.910846 
0.260 7.23 7.19 0.7958 0.8264 11.87 768.442 1.91377 0.941758 
0.261 4.75 4.68 0.7876 0.8892 11.84 768.114 2.68189 0.443686 
0.262 1.00 0.96 0.8811 0.9061 11.83 767.785 3.44967 -0.303227 
0.263 -1.86 -1.93 0.7581 0.7446 11.86 767.456 4.21713 -0.879844 
0.264 -2.28 -2.35 0.8429 0.8678 11.87 767.128 4.98425 -0.963272 
0.265 -0.00 -0.07 0.8953 0.7939 11.87 766.8 5.75105 -0.507371 
0.266 3.69 3.63 0.8790 0.8281 11.87 766.472 0.234341 0.232202 
0.267 6.74 6.67 0.7051 0.7819 11.89 766.144 1.00048 0.841733 
0.268 7.44 7.37 0.8137 0.7921 11.87 765.816 1.7663 0.98095 
0.269 5.40 5.33 0.6853 0.7961 11.83 765.488 2.53179 0.572706 
0.270 1.76 1.69 0.8595 0.8621 11.82 765.161 3.29695 -0.154733 
0.271 -1.44 -1.51 0.7279 0.7843 11.85 764.833 4.06178 -0.795717 
0.272 -2.43 -2.50 0.8800 0.8777 11.87 764.506 4.82629 -0.99352 
0.273 -0.66 -0.73 0.7214 0.7870 11.86 764.179 5.59047 -0.63863 
0.274 2.89 2.82 0.8037 0.8316 11.86 763.852 0.0711357 0.0710757 
0.275 6.24 6.17 0.7978 0.7783 11.88 763.525 0.834661 0.741069 
0.276 7.53 7.46 0.7788 0.7920 11.87 763.199 1.59786 0.999634 
0.277 6.05 5.98 0.7381 0.7820 11.83 762.872 2.36073 0.703891 
0.279 -0.85 -0.92 0.7999 0.8179 11.84 762.219 3.8855 -0.677166 
0.280 -2.45 -2.52 0.8714 0.8455 11.87 761.893 4.64739 -0.997888 
0.281 -1.30 -1.37 0.7821 0.8555 11.86 761.567 5.40896 -0.767048 
0.282 1.97 1.90 0.8648 0.8332 11.86 761.242 6.1702 -0.112746 
0.283 5.55 5.48 0.6965 0.7806 11.87 760.916 0.647929 0.603537 
0.284 7.47 7.40 0.8389 0.7925 11.87 760.59 1.40852 0.986862 
0.285 6.67 6.60 0.6732 0.7735 11.84 760.265 2.16878 0.82647 
0.286 3.59 3.52 0.8806 0.8413 11.82 759.94 2.92872 0.211265 
0.287 -0.06 -0.14 0.7040 0.7724 11.84 759.614 3.68834 -0.51991 
0.288 -2.29 -2.36 0.8240 0.8480 11.86 759.289 4.44763 -0.965155 
0.289 -1.86 -1.94 0.8865 0.7961 11.87 758.965 5.20659 -0.880347 
0.290 0.96 0.91 0.8457 0.8427 11.86 758.64 5.96523 -0.312623 
0.291 4.67 4.59 0.7133 0.7932 11.88 758.315 0.440362 0.426267 
0.292 7.19 7.12 0.8132 0.7941 11.88 757.991 1.19835 0.931441 
0.293 7.17 7.10 0.6711 0.7755 11.85 757.666 1.95602 0.926715 
0.294 4.61 4.54 0.8697 0.8334 11.81 757.342 2.71336 0.415263 
0.295 0.92 0.85 0.7027 0.7585 11.82 757.018 3.47038 -0.322895 
0.296 -1.89 -1.96 0.8611 0.8561 11.85 756.694 4.22707 -0.884528 
0.297 -2.28 -2.35 0.7304 0.7881 11.86 756.371 4.98344 -0.963489 
0.298 -0.06 -0.11 0.8229 0.8516 11.85 756.047 5.73949 -0.517301 
0.299 3.56 3.54 0.8211 1.0282 11.86 755.724 0.21203 0.210445 
0.300 6.63 6.61 0.7665 0.8032 11.88 755.4 0.96743 0.82343 
0.301 7.47 7.42 0.7381 0.7732 11.86 755.077 1.72251 0.988514 
