% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1707912116.8215 0 0 0 0
1707912116.8297 0 0 0 0
1707912116.8366 0 0 0 0
1707912116.8450 0 0 0 0
1707912116.8526 4 4 4 4
1707912116.8606 12 12 8 8
1707912116.8690 20 19 8 7
1707912116.8768 24 22 4 3
1707912116.8850 28 26 4 4
1707912116.8926 35 33 7 7
1707912116.9013 42 41 7 8
1707912116.9094 49 48 7 7
1707912116.9168 57 55 8 7
1707912116.9248 65 64 8 9
1707912116.9334 75 74 10 10
1707912116.9408 85 83 10 9
1707912116.9493 94 93 9 10
1707912116.9575 104 103 10 10
1707912116.9653 115 113 11 10
1707912116.9726 126 125 11 12
1707912116.9814 137 137 11 12
