% Edge sensor logfile normalized 'log_20240216_141539.902/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1708089340.7262 0 0 0 0 0 0 0 0  0.0000
1708089340.7339 0 0 0 0 0 0 0 0  0.0000
1708089340.7416 0 0 0 0 0 0 0 0  0.0000
1708089340.7497 0 0 0 0 0 0 0 0  0.0000
1708089340.7574 0 0 0 0 0 0 0 0  0.0000
1708089340.7661 0 0 0 0 0 0 0 0  0.0000
1708089340.7731 0 0 0 0 0 0 0 0  0.0000
1708089340.7815 0 0 0 0 0 0 0 0  0.0000
1708089340.7892 0 0 0 0 0 0 0 0  0.0000
1708089340.7973 0 0 0 0 0 0 0 0  0.0000
1708089340.8060 0 0 0 0 0 0 0 0  0.0000
1708089340.8137 0 0 0 0 0 0 0 0  0.0000
1708089340.8218 0 0 0 0 0 0 0 0  0.0000
1708089340.8294 0 0 0 0 0 0 0 0  0.0000
1708089340.8383 0 0 0 0 0 0 0 0  0.0000
1708089340.8454 0 0 0 0 0 0 0 0  0.0000
1708089340.8541 0 0 0 0 0 0 0 0  0.0000
1708089340.8619 0 0 0 0 0 0 0 0  0.0000
1708089340.8695 0 0 0 0 0 0 0 0  0.0000
1708089340.8777 0 0 0 0 0 0 0 0  0.0000
1708089340.8865 0 0 0 0 0 0 0 0  0.0000
1708089340.8934 0 0 0 0 0 0 0 0  0.0000
1708089340.9022 0 0 0 0 0 0 0 0  0.0000
1708089340.9097 0 0 0 0 0 0 0 0  0.0000
1708089340.9172 0 0 0 0 0 0 0 0  0.0000
1708089340.9258 0 0 0 0 0 0 0 0  0.0000
1708089340.9333 0 0 0 0 0 0 0 0  0.0000
1708089340.9411 0 0 0 0 0 0 0 0  0.0000
1708089340.9492 0 0 0 0 0 0 0 0  0.0000
1708089340.9573 0 0 0 0 0 0 0 0  0.0000
1708089340.9653 0 0 0 0 0 0 0 0  0.0000
1708089340.9735 0 0 0 0 0 0 0 0  0.0000
1708089340.9818 0 0 0 0 0 0 0 0  0.0000
1708089340.9896 0 0 0 0 0 0 0 0  0.0000
1708089340.9977 0 0 0 0 0 0 0 0  0.0000
1708089341.0062 0 0 0 0 0 0 0 0  0.0000
1708089341.0139 0 0 0 0 0 0 0 0  0.0000
1708089341.0220 0 0 0 0 0 0 0 0  0.0000
1708089341.0303 0 0 0 0 0 0 0 0  0.0000
1708089341.0381 0 0 0 0 0 0 0 0  0.0000
1708089341.0451 0 0 0 0 0 0 0 0  0.0000
1708089341.0535 0 0 0 0 0 0 0 0  0.0000
1708089341.0612 0 0 0 0 0 0 0 0  0.0000
1708089341.0693 0 0 0 0 0 0 0 0  0.0000
1708089341.0776 0 0 0 0 0 0 0 0  0.0000
1708089341.0855 0 0 0 0 0 0 0 0  0.0000
1708089341.0941 0 0 0 0 0 0 0 0  0.0000
1708089341.1022 0 0 0 0 0 0 0 0  0.0000
1708089341.1100 0 0 0 0 0 0 0 0  0.0000
1708089341.1174 0 0 0 0 0 0 0 0  0.0000
1708089341.1255 0 0 0 0 0 0 0 0  0.0000
1708089341.1334 0 0 0 0 0 0 0 0  0.0000
1708089341.1418 0 0 0 0 0 0 0 0  0.0000
1708089341.1499 0 0 0 0 0 0 0 0  0.0000
1708089341.1577 0 0 0 0 0 0 0 0  0.0000
1708089341.1659 0 0 0 0 0 0 0 0  0.0000
1708089341.1741 0 0 0 0 0 0 0 0  0.0000
1708089341.1813 0 0 0 0 0 0 0 0  0.0000
1708089341.1897 0 0 0 0 0 0 0 0  0.0000
1708089341.1979 0 0 0 0 0 0 0 0  0.0000
1708089341.2059 0 0 0 0 0 0 0 0  0.0000
1708089341.2133 0 0 0 0 0 0 0 0  0.0000
1708089341.2215 0 0 0 0 0 0 0 0  0.0000
1708089341.2297 0 0 0 0 0 0 0 0  0.0000
1708089341.2379 0 0 0 0 0 0 0 0  0.0000
