% Edge sensor logfile log_20240216_141557.710/log_edge.txt
% 	Calib white 1000 1000 1000 1000 1000 1000 1000 1000
% 	Calib black 287 374 408 450 468 436 401 304
% 	White threshold (of 1000) 700 
% 1 	Time (sec)
% 2 	Edge valid
% 3 	Left edge position(m)
% 4 	Right edge position (m)
% 5 	Line width (m)
1708089358.7408 0 0.000 0.000 0.0000
1708089358.7484 0 0.000 0.000 0.0000
1708089358.7561 0 0.000 0.000 0.0000
1708089358.7642 0 0.000 0.000 0.0000
1708089358.7718 0 0.000 0.000 0.0000
1708089358.7804 0 0.000 0.000 0.0000
1708089358.7884 0 0.000 0.000 0.0000
1708089358.7965 0 0.000 0.000 0.0000
1708089358.8039 0 0.000 0.000 0.0000
1708089358.8119 0 0.000 0.000 0.0000
1708089358.8204 0 0.000 0.000 0.0000
1708089358.8279 0 0.000 0.000 0.0000
1708089358.8363 0 0.000 0.000 0.0000
1708089358.8445 0 0.000 0.000 0.0000
1708089358.8522 0 0.000 0.000 0.0000
1708089358.8602 0 0.000 0.000 0.0000
1708089358.8678 0 0.000 0.000 0.0000
1708089358.8768 0 0.000 0.000 0.0000
1708089358.8841 0 0.000 0.000 0.0000
1708089358.8919 0 0.000 0.000 0.0000
1708089358.9003 0 0.000 0.000 0.0000
1708089358.9083 0 0.000 0.000 0.0000
1708089358.9167 0 0.000 0.000 0.0000
1708089358.9241 0 0.000 0.000 0.0000
1708089358.9323 0 0.000 0.000 0.0000
1708089358.9407 0 0.000 0.000 0.0000
1708089358.9483 0 0.000 0.000 0.0000
1708089358.9563 0 0.000 0.000 0.0000
1708089358.9647 0 0.000 0.000 0.0000
1708089358.9726 0 0.000 0.000 0.0000
1708089358.9807 0 0.000 0.000 0.0000
1708089358.9883 0 0.000 0.000 0.0000
1708089358.9963 0 0.000 0.000 0.0000
1708089359.0043 0 0.000 0.000 0.0000
1708089359.0131 0 0.000 0.000 0.0000
1708089359.0211 0 0.000 0.000 0.0000
1708089359.0291 0 0.000 0.000 0.0000
1708089359.0367 0 0.000 0.000 0.0000
1708089359.0446 0 0.000 0.000 0.0000
1708089359.0527 0 0.000 0.000 0.0000
1708089359.0603 0 0.000 0.000 0.0000
1708089359.0683 0 0.000 0.000 0.0000
1708089359.0764 0 0.000 0.000 0.0000
1708089359.0851 0 0.000 0.000 0.0000
1708089359.0931 0 0.000 0.000 0.0000
1708089359.1011 0 0.000 0.000 0.0000
1708089359.1093 0 0.000 0.000 0.0000
1708089359.1169 0 0.000 0.000 0.0000
1708089359.1249 0 0.000 0.000 0.0000
1708089359.1326 0 0.000 0.000 0.0000
1708089359.1403 0 0.000 0.000 0.0000
1708089359.1487 0 0.000 0.000 0.0000
