% Edge logfile: log_20240216_142908.199/log_edge_ctrl.txt
% 1 	Time (sec)
% 2 	heading mode (edge control == 2)
% 3 	Edge 1=left, 0=right
% 4 	Edge offset (signed in m; should be less than about 0.01)
% 5 	Measured edge value (m; positive is left)
% 6 	control value (rad/sec; positive is CCV)
% 7 	limited
1708090149.0950 2 1 0.0000 0.0000 0.0000 0
1708090149.1024 2 1 0.0000 0.0000 0.0000 0
1708090149.1103 2 1 0.0000 0.0000 0.0000 0
1708090149.1188 2 1 0.0000 0.0000 0.0000 0
1708090149.1261 2 1 0.0000 0.0000 0.0000 0
1708090149.1345 2 1 0.0000 0.0000 0.0000 0
1708090149.1431 2 1 0.0000 0.0000 0.0000 0
1708090149.1509 2 1 0.0000 0.0000 0.0000 0
1708090149.1589 2 1 0.0000 0.0000 0.0000 0
1708090149.1664 2 1 0.0000 0.0000 0.0000 0
1708090149.1745 2 1 0.0000 0.0000 0.0000 0
1708090149.1825 2 1 0.0000 0.0000 0.0000 0
1708090149.1910 2 1 0.0000 0.0000 0.0000 0
1708090149.1988 2 1 0.0000 0.0000 0.0000 0
1708090149.2068 2 1 0.0000 0.0000 0.0000 0
1708090149.2143 2 1 0.0000 0.0000 0.0000 0
1708090149.2221 2 1 0.0000 0.0000 0.0000 0
1708090149.2301 2 1 0.0000 0.0000 0.0000 0
1708090149.2387 2 1 0.0000 0.0000 0.0000 0
1708090149.2465 2 1 0.0000 0.0000 0.0000 0
1708090149.2545 2 1 0.0000 0.0000 0.0000 0
1708090149.2631 2 1 0.0000 0.0000 0.0000 0
1708090149.2709 2 1 0.0000 0.0000 0.0000 0
1708090149.2790 2 1 0.0000 0.0000 0.0000 0
1708090149.2865 2 1 0.0000 0.0000 0.0000 0
1708090149.2944 2 1 0.0000 0.0000 0.0000 0
1708090149.3024 2 1 0.0000 0.0000 0.0000 0
1708090149.3103 2 1 0.0000 0.0000 0.0000 0
1708090149.3189 2 1 0.0000 0.0000 0.0000 0
1708090149.3269 2 1 0.0000 0.0000 0.0000 0
1708090149.3345 2 1 0.0000 0.0000 0.0000 0
1708090149.3431 2 1 0.0000 0.0000 0.0000 0
1708090149.3504 2 1 0.0000 0.0000 0.0000 0
1708090149.3582 2 1 0.0000 0.0000 0.0000 0
1708090149.3668 2 1 0.0000 0.0000 0.0000 0
1708090149.3748 2 1 0.0000 0.0000 0.0000 0
1708090149.3823 2 1 0.0000 0.0000 0.0000 0
